DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
27/04/2016,50.50,GAS,51.00,52.00,50.00,1114170.00
26/04/2016,49.50,GAS,48.00,49.50,47.70,841390.00
25/04/2016,48.30,GAS,49.60,49.60,48.30,692070.00
22/04/2016,49.50,GAS,47.00,49.50,47.00,2152670.00
21/04/2016,47.60,GAS,45.70,47.60,45.70,1430930.00
20/04/2016,44.80,GAS,44.80,44.90,44.40,859070.00
19/04/2016,44.30,GAS,45.00,45.10,44.10,1543460.00
15/04/2016,46.30,GAS,46.00,46.80,46.00,880220.00
14/04/2016,45.90,GAS,45.50,46.30,45.50,714940.00
13/04/2016,46.20,GAS,46.30,47.00,45.70,1273840.00
12/04/2016,45.50,GAS,45.00,45.60,45.00,914510.00
11/04/2016,45.00,GAS,45.20,45.70,44.90,968630.00
08/04/2016,44.10,GAS,45.50,45.50,43.70,693050.00
07/04/2016,44.10,GAS,44.10,44.50,43.60,1021450.00
06/04/2016,43.00,GAS,42.10,43.00,41.80,844500.00
05/04/2016,41.00,GAS,40.00,41.00,39.60,813570.00
04/04/2016,40.40,GAS,40.20,41.50,40.20,697070.00
01/04/2016,41.50,GAS,41.00,41.70,40.90,470820.00
31/03/2016,41.00,GAS,42.80,42.80,41.00,814690.00
30/03/2016,43.00,GAS,43.30,43.80,42.80,607540.00
29/03/2016,43.50,GAS,44.90,44.90,43.50,824770.00
28/03/2016,45.20,GAS,45.30,45.50,45.00,273940.00
25/03/2016,45.20,GAS,44.90,45.40,44.70,750070.00
24/03/2016,45.10,GAS,45.80,46.00,45.10,855580.00
23/03/2016,46.40,GAS,45.50,46.50,45.40,612230.00
22/03/2016,45.50,GAS,45.70,46.50,44.60,1011840.00
21/03/2016,45.00,GAS,46.00,46.20,45.00,670640.00
18/03/2016,46.20,GAS,47.60,47.60,46.20,739470.00
17/03/2016,46.90,GAS,47.60,47.70,46.90,1231580.00
16/03/2016,46.90,GAS,46.60,47.20,46.40,609350.00
15/03/2016,46.50,GAS,47.50,47.70,46.30,1433850.00
14/03/2016,48.20,GAS,48.50,48.70,48.10,535200.00
11/03/2016,48.10,GAS,48.30,48.40,47.70,926390.00
10/03/2016,48.30,GAS,48.60,49.00,47.80,896680.00
09/03/2016,47.40,GAS,47.10,48.30,47.10,978270.00
08/03/2016,48.20,GAS,50.00,51.50,48.00,1734860.00
07/03/2016,49.40,GAS,47.90,49.50,47.70,1965600.00
04/03/2016,46.30,GAS,45.00,46.40,44.80,1085350.00
03/03/2016,45.20,GAS,44.70,45.40,44.70,775150.00
02/03/2016,44.10,GAS,44.00,44.50,43.80,779100.00
01/03/2016,43.60,GAS,43.00,44.20,42.70,909320.00
29/02/2016,42.70,GAS,42.80,43.30,42.60,612850.00
26/02/2016,42.50,GAS,42.50,42.90,42.00,787790.00
25/02/2016,41.80,GAS,43.80,43.80,41.80,686070.00
24/02/2016,42.80,GAS,43.10,43.40,42.00,1509510.00
23/02/2016,43.30,GAS,43.20,45.00,43.20,1480380.00
22/02/2016,42.90,GAS,42.30,43.30,42.30,691380.00
19/02/2016,42.50,GAS,40.80,43.00,40.80,1219680.00
18/02/2016,41.70,GAS,40.50,42.00,40.40,1427340.00
17/02/2016,39.40,GAS,39.80,39.90,39.00,765590.00
16/02/2016,40.00,GAS,38.70,40.00,38.30,1364980.00
15/02/2016,38.20,GAS,37.60,38.50,37.50,799110.00
05/02/2016,38.00,GAS,38.00,38.00,37.50,193980.00
04/02/2016,38.00,GAS,39.10,39.10,37.70,357750.00
03/02/2016,38.20,GAS,34.90,38.20,34.60,869550.00
02/02/2016,36.00,GAS,36.50,36.80,35.50,766710.00
01/02/2016,37.50,GAS,39.40,39.50,37.50,1125880.00
29/01/2016,39.20,GAS,37.50,39.20,37.10,1288510.00
28/01/2016,36.70,GAS,37.00,37.60,36.30,1009030.00
27/01/2016,36.50,GAS,36.50,37.20,36.20,967500.00
26/01/2016,35.50,GAS,33.10,36.50,33.00,1059720.00
25/01/2016,34.20,GAS,33.80,34.20,33.80,753540.00
22/01/2016,32.00,GAS,30.40,32.10,30.20,1189260.00
21/01/2016,30.00,GAS,30.10,30.70,29.80,1009530.00
20/01/2016,30.70,GAS,31.90,31.90,30.70,873730.00
19/01/2016,31.90,GAS,32.00,32.50,31.80,514120.00
18/01/2016,31.90,GAS,32.90,33.90,31.90,1238200.00
15/01/2016,34.30,GAS,34.60,34.90,34.30,214240.00
14/01/2016,34.40,GAS,35.00,35.00,34.30,435400.00
13/01/2016,35.00,GAS,34.70,35.70,34.70,473070.00
12/01/2016,34.70,GAS,34.10,34.80,34.10,337230.00
11/01/2016,35.00,GAS,35.00,35.30,34.80,324170.00
08/01/2016,35.00,GAS,34.60,35.10,34.40,332300.00
07/01/2016,34.50,GAS,36.00,36.00,34.50,759190.00
06/01/2016,36.30,GAS,36.10,36.40,36.10,105380.00
05/01/2016,36.10,GAS,36.20,36.50,36.00,233890.00
04/01/2016,36.20,GAS,36.50,37.00,36.20,182580.00
